MYLK-AS1	4.27005411934912
LINC01419	4.2051034562093
MTHFD1L	4.20403408032771
CEBPB	4.17510310009771
ASNSP1	4.16105163972564
SLC7A11	3.90606070988852
SLC7A5	3.81143325995074
SLC1A5	3.80333590833452
PEMT	3.72916102507293
IMPDH2	3.70446908357631
NT5C	3.67064873127809
DCST1-AS1	3.62150841834255
PRIMA1	3.58059029082133
ZBED3	3.56507984032264
EIF1	3.53593890686468
HNRNPA1P48	3.51249728445965
PHGDH	3.48825434728334
H4C3	3.46765228390887
C17orf49	3.44648026196022
STEAP1	3.44518858459997
SHMT2	3.43324138089237
GYPC	3.42106004227434
NTHL1	3.39869725963117
EFCAB10	3.38671443254583
HBQ1	3.38453597683677
SH2D2A	3.3804825333864
TRIB3	3.3728932752257
RPL32P16	3.37195245975623
CARM1	3.3629550791791
XBP1	3.35722163492419
DHPS	3.35507177819105
CDC42EP1	3.35336924380985
FBXO36	3.34314965560366
LHPP	3.31863031698269
HORMAD1	3.31257540242205
HLF	3.30840992939058
PYROXD1	3.29898260229608
SCARNA13	3.27119686237755
SFT2D3	3.26435765382617
GTPBP6	3.23905546160957
EIF4EBP1	3.23555657188677
HAPLN2	3.23342664688098
TIMM9	3.23205882174595
TMEM145	3.22977045927269
MACROD1	3.22465109172497
H1-2	3.22084120425656
PYCR1	3.21812434768674
MRPS34	3.21618806391641
ECI1	3.2158236176653
DHODH	3.21159801366411
SNRPA	3.20400894523852
HSD17B8	3.20379250563632
TMEM18	3.19183107515229
NT5M	3.1820804899951
ANKMY1	3.1731014106022
TSEN15	3.16854414969525
MRPL48	3.16825679901231
CTU2	3.16513089893897
ARL2	3.16251397165909
PCK2	3.14992243936825
SLC6A9	3.14552270713261
DPH6	3.13760698893557
FAM86C2P	3.10626086686907
MLST8	3.09908820835691
RPL23AP2	3.08956781846455
LMF1	3.08281963643979
BNIP1	3.07974194944943
SLC29A1	3.07793291553714
DPM3	3.06843888210528
PRDM13	3.066123328475
DYRK4	3.06536814066884
ATP5MC2	3.05086192306148
ARHGAP22	3.04688192803666
TRIM52-AS1	3.01259561829293
EIF2A	3.01222200792751
SLC7A1	3.00957981236806
ZFAND1	2.9973462004785
GTF2H2C	2.9956296733579
MFSD3	2.98787455328815
SNORA11F	2.98323371718377
YARS1	2.95495390798373
ADPRM	2.94848117671249
ABRAXAS1	2.93569441823063
APOM	2.91273223478165
FAM86JP	2.90698945647121
CCDC74A	2.90111834281728
EEF2KMT	2.90019198500636
HAS2	2.88886305018075
SUCLG2	2.88763782816488
CLPSL2	2.88642811946295
CTH	2.88006279717949
DTYMK	2.87265794275674
MRPL24	2.86120880715446
GARS1	2.8552512316858
KAT5	2.85247097056443
RPL10P3	2.85109291236919
COMT	2.8505573079171
SIAH2	2.84888760968278
FBXO4	2.84847916221626
DNAJC27-AS1	2.8470736555997
RBFA	2.84394649305641
NAGLU	2.84019675145699
ANP32B	2.83125292726241
SARS2	2.82839650523562
GAS5	2.82416477962984
THG1L	2.82017172534748
CYC1	2.80402790731585
RPS2P46	2.80212323195642
SNHG15	2.79864986173466
NUDT8	2.79828242555857
ITFG2-AS1	2.78680459331423
PRKN	2.78636310538228
TBL1X	2.76849089530332
GRHPR	2.76819904869536
APRT	2.7664699193616
TRMT1	2.76038708454902
FBXO17	2.75429515585006
DHRS4-AS1	2.75398409910165
HNRNPA1	2.74676187082724
ZNF516-AS1	2.73987949858207
PCGF1	2.73730059901853
DUS3L	2.73387888276184
HMBS	2.72523416289528
OSGEPL1	2.72297733459851
AAAS	2.72230556375601
SLC38A1	2.72228760500517
EPB41L4A-AS1	2.71923825090327
BHLHE22	2.71459763319963
MYDGF	2.71403338849106
RPS2P35	2.70914387103811
DUSP12	2.70747349104926
F12	2.70581751780524
ATRAID	2.70516070029572
SLC3A2	2.69305865895863
ATF4	2.69255623690418
DTD1	2.69175501750239
PKN3	2.68886608894101
PRMT1	2.68329916537538
TMEM101	2.67418860171607
C15orf61	2.66781346251526
KCTD15	2.66620670088072
QTRT1	2.6630574559876
SCRN2	2.66206758648285
CHCHD6	2.66088316315494
RAD23A	2.65829301005493
KATNB1	2.65516325573582
C16orf74	2.65246911194939
WDR18	2.65061768079885
SNHG32	2.64414545682477
SET	2.64322286832376
NPM3	2.64230667307956
LONP1	2.63683901631796
ILVBL	2.63227736186172
RPRML	2.6299454516665
RNASEH1-AS1	2.62588529173743
TRAP1	2.6251539944162
PHB2	2.62307116614484
TAFAZZIN	2.62228565321043
TCEA2	2.62209958819504
RPS3AP49	2.6203437278049
ENO4	2.61725892146599
ZNF22	2.61722149771593
EXOSC8	2.61514976921428
NUTM2A-AS1	2.60203595270494
ZFP69	2.60182398278819
MTHFD2	2.59904223028685
XXYLT1	2.59577397545043
CPSF4	2.59520328274641
CAMKV	2.58201812393777
PEX11G	2.58137831111035
LIPT2	2.5776170516992
VPS9D1-AS1	2.57631716982601
AGA	2.57602000246025
MIR924HG	2.5730851533391
DTNB	2.5723838346465
FAAP100	2.57020219392752
SLC19A1	2.56955249947474
RPS18	2.56067741571912
CLYBL	2.5595351945083
IPO5	2.55920024100007
PSPH	2.55875271252671
ZFAS1	2.55517965671065
TKT	2.55397693515807
RPS6KA2	2.55107444645414
PLGRKT	2.54840042713272
TMEM144	2.54286148200693
RASGEF1C	2.5426073115331
OXA1L	2.53640778726801
SLC25A6	2.53622217114418
MIF4GD	2.53259061069607
HAX1	2.53177479843864
MPG	2.52986576007059
LINC01976	2.52902909281965
PSAT1	2.52788236187107
TOP1MT	2.52569554933271
